,Unnamed: 0,country,week,NO2,PM2.5
349,349,New Zealand,16,-33.333333333333336,-46.10974610974611
350,350,New Zealand,17,6.944444444444431,-37.0
351,351,Peru,5,-72.27443609022555,-6.559766763848384
352,352,Peru,6,-31.858407079646007,-23.09711286089239
353,353,Peru,7,66.66666666666667,-11.486880466472314
354,354,Peru,8,-6.349206349206346,-29.89944981976855
355,355,Peru,9,,-1.2586805555555287
356,356,Peru,10,,-17.352320675105485
357,357,Peru,11,,-41.1764705882353
358,358,Peru,12,,-48.17596566523605
359,359,Peru,13,-77.09923664122137,-49.13978494623657
360,360,Peru,14,-69.72477064220183,-24.894067796610177
361,361,Peru,15,-78.94736842105263,-32.65199161425577
362,362,Peru,16,-65.74074074074075,-35.969387755102034
363,363,Peru,17,-75.16891891891892,-48.32696661007356
364,364,Philippines,5,614.2857142857142,703.3333333333331
365,365,Philippines,6,592.2448979591835,1350.0915750915751
366,366,Philippines,7,705.5555555555554,1409.2857142857144
367,367,Philippines,8,1277.083333333333,711.5809523809526
368,368,Philippines,9,700.0,1249.3303571428576
369,369,Philippines,10,585.1851851851849,1023.015873015873
370,370,Philippines,11,169.23076923076928,1615.6462585034012
371,371,Philippines,12,708.3333333333334,
372,372,Philippines,13,177.77777777777774,1472.9729729729727
373,373,Philippines,14,165.38461538461547,993.9153439153437
374,374,Philippines,15,118.18181818181817,615.9090909090908
375,375,Philippines,16,196.10389610389612,872.9064039408868
376,376,Philippines,17,157.03125000000003,1012.5
377,377,Poland,5,-28.57142857142857,-30.481283422459896
378,378,Poland,6,-19.266917293233075,-40.23136246786632
379,379,Poland,7,-49.1883116883117,-41.367861885790184
380,380,Poland,8,-20.000000000000014,-38.60894251242016
381,381,Poland,9,-12.284482758620685,-43.16087880935506
382,382,Poland,10,13.981042654028439,24.07862407862408
383,383,Poland,11,-25.454545454545453,-3.2329988851727953
384,384,Poland,12,-32.05128205128205,-16.857962697274036
385,385,Poland,13,-41.035856573705175,0.16273393002440548
386,386,Poland,14,-30.522088353413647,-12.85714285714285
387,387,Poland,15,1.4044943820224598,-10.954063604240288
388,388,Poland,16,-56.57254138266797,-28.666666666666668
389,389,Poland,17,5.681818181818182,-14.488636363636349
390,390,Portugal,5,50.862068965517246,37.47130496203423
391,391,Portugal,6,72.1698113207547,13.645038167938944
392,392,Portugal,7,50.8403361344538,13.892709766162298
393,393,Portugal,8,-3.0555555555555522,0.16685205784203092
394,394,Portugal,9,115.67164179104469,71.30518234165066
395,395,Portugal,10,163.09523809523805,71.1590296495957
396,396,Portugal,11,83.33333333333339,50.498007968127496
397,397,Portugal,12,45.00000000000003,53.594080338266366
398,398,Portugal,13,-7.8853046594981935,12.383855981416966
399,399,Portugal,14,285.0,133.3922261484099
400,400,Portugal,15,210.71428571428572,104.73356009070292
401,401,Portugal,16,123.25581395348843,71.4018691588785
402,402,Portugal,17,85.0,28.94278606965172
403,403,Russia,5,70.45454545454544,133.40961098398168
404,404,Russia,6,26.086956521739108,-6.115702479338834
405,405,Russia,7,87.40157480314961,92.81767955801104
406,406,Russia,8,50.45871559633027,80.5392731535756
407,407,Russia,9,26.760563380281706,46.51162790697674
408,408,Russia,10,106.45161290322582,78.25851811790157
409,409,Russia,11,-28.30188679245283,114.8207171314741
410,410,Russia,12,-10.569105691056894,8.98760330578513
411,411,Russia,13,50.79365079365081,44.245524296675185
412,412,Russia,14,-34.22818791946308,-1.0351966873705916
413,413,Russia,15,-40.145985401459825,-1.846337105419876
414,414,Russia,16,-45.173745173745175,-17.30502999538535
415,415,Russia,17,-31.76100628930818,-50.821167883211686
416,416,Saudi Arabia,5,,
417,417,Saudi Arabia,6,,
418,418,Saudi Arabia,7,,
419,419,Saudi Arabia,8,,
420,420,Saudi Arabia,9,,
421,421,Saudi Arabia,10,,
422,422,Saudi Arabia,11,,
423,423,Saudi Arabia,12,,
424,424,Saudi Arabia,13,,
425,425,Saudi Arabia,14,,
426,426,Saudi Arabia,15,,
427,427,Saudi Arabia,16,,
428,428,Saudi Arabia,17,,
429,429,Serbia,5,-15.343915343915333,23.230373230373235
430,430,Serbia,6,-24.742268041237114,-51.01522842639594
431,431,Serbia,7,-28.46715328467154,-30.797101449275356
432,432,Serbia,8,7.070707070707071,-16.99507389162562
433,433,Serbia,9,-23.008849557522133,-30.878186968838538
434,434,Serbia,10,-35.57692307692309,31.79347826086958
435,435,Serbia,11,-20.19230769230769,17.48971193415638
436,436,Serbia,12,-27.884615384615387,1.6742770167427679
437,437,Serbia,13,-77.0,10.884353741496597
438,438,Serbia,14,-65.21739130434783,17.177914110429448
439,439,Serbia,15,-46.96969696969697,-10.46312178387651
440,440,Serbia,16,-64.35643564356435,-24.050632911392405
441,441,Serbia,17,-93.53846153846153,-7.7197149643705405
442,442,South Africa,5,46.69223394055611,-8.635547576301617
443,443,South Africa,6,21.908127208480572,-3.7616672030898184
444,444,South Africa,7,-14.712230215827361,-14.181191850194296
445,445,South Africa,8,-10.299800133244483,2.420091324200922
446,446,South Africa,9,-10.377679482817268,3.6002504734559517
447,447,South Africa,10,-25.96709323583181,-18.06423229212494
448,448,South Africa,11,-33.72316126084969,-4.70285766290498
449,449,South Africa,12,-22.38928939237898,0.1262509988681895
450,450,South Africa,13,-31.6717791411043,-18.53986135181975
451,451,South Africa,14,-18.889883616830787,-35.30110090812239
452,452,South Africa,15,-41.615925058548015,-15.261358085002469
453,453,South Africa,16,-35.53775743707093,9.919208028044043
454,454,South Africa,17,-19.617875647668402,13.403998242530767
455,455,South Korea,5,-18.855840208423796,-39.20214334873661
456,456,South Korea,6,-16.235955056179776,-4.717621504208522
457,457,South Korea,7,-0.20196191575301797,13.612505705157446
458,458,South Korea,8,-40.02115655853315,-34.46237487055576
459,459,South Korea,9,-47.42785445420326,-65.54900790690736
460,460,South Korea,10,-24.42307692307694,-26.68673632017
461,461,South Korea,11,-33.91089108910891,-4.277643260694099
462,462,South Korea,12,-29.003759398496253,-25.283375314861445
463,463,South Korea,13,-4.593865379153672,-10.944820406038547
464,464,South Korea,14,-14.563286454478156,23.31876260928045
